fecha_robo;hora_robo;id_tipo_alerta;DiaDeLaSemana;codigo_via;tipo_via;nombre_via;nro_cuadra;id_criticidad;desc_criticidad;estado_criticidad;id_urbanizacion;urbanizacion;latitud;longitud;tipo_de_delito;data1;data2
31/10/2022;1;1;1;1;Avenida;ABANCAY;9;1;Leve;Activo;1;Cercado lima;-12.053478;-77.0295;1;-12.05;-77.02
26/09/2022;5;1;2;7;Otros;CRUCE MAYNAS CON JUNIN;0;1;Leve;Activo;1;Cercado lima;-12.051379;-77.0166;1;-12.05;-77.01
8/08/2022;6;1;3;2;Jiron;CUZCO;6;1;Leve;Activo;1;Cercado lima;-12.052248;-77.0278;1;-12.05;-77.02
17/08/2022;2;2;2;2;Jiron;ANDAHUAYLAS;9;1;Leve;Activo;1;Cercado lima;-12.053125;-77.026582;1;-12.05;-77.02
25/09/2022;5;3;2;1;Avenida;GUILLERMO DANSEY;18;1;Leve;Activo;1;Cercado lima;-12.045245;-77.045727;1;-12.04;-77.04
21/08/2022;6;3;2;7;Otros;CRUCE ARGENTINA Y RICARDO HERRERA;0;1;Leve;Activo;1;Cercado lima;-12.044653;-77.054807;1;-12.04;-77.05
26/08/2022;7;3;2;7;Otros;CRUCE ARISTIDES DEL CARPIO CON ELVIRA GARCIA;0;1;Leve;Activo;1;Cercado lima;-12.052973;-77.071292;1;-12.05;-77.07
18/08/2022;3;3;2;2;Jiron;AMAZONAS;2;1;Leve;Activo;1;Cercado lima;-12.044596;-77.021681;1;-12.04;-77.02
17/08/2022;11;3;3;1;Avenida;VENEZUELA;26;1;Leve;Activo;1;Cercado lima;-12.057859;-77.068953;1;-12.05;-77.06
14/08/2022;12;3;3;2;Jiron;MONTEVIDEO;5;1;Leve;Activo;1;Cercado lima;-12.057497;-77.031654;1;-12.05;-77.03
19/07/2022;13;3;4;2;Jiron;GUALBERTO GUEVARA;3;1;Leve;Activo;1;Cercado lima;-12.052297;-77.065325;1;-12.05;-77.06
8/09/2022;14;3;4;2;Jiron;HUANUCO;8;1;Leve;Activo;1;Cercado lima;-12.054379;-77.018657;1;-12.05;-77.01
5/09/2022;12;4;4;7;Otros;CRUCE COLONIAL CON NACIONES UNIDAS;0;1;Leve;Activo;1;Cercado lima;-12.04823;-77.059373;1;-12.04;-77.05
2/10/2022;5;4;4;7;Otros;CRUCE COLONIAL CON NACIONES UNIDAS;0;1;Leve;Activo;1;Cercado lima;-12.04928;-77.059727;1;-12.04;-77.05
14/09/2022;6;4;6;6;Prolongacion;ARICA;18;1;Leve;Activo;1;Cercado lima;-12.055355;-77.058257;1;-12.05;-77.05
11/10/2022;7;4;6;7;Otros;CRUCE VENEZUELA CON AGUARICO;0;1;Leve;Activo;1;Cercado lima;-12.055491;-77.054019;1;-12.05;-77.05
17/07/2022;8;4;6;1;Avenida;ABANCAY;10;1;Leve;Activo;1;Cercado lima;-12.055732;-77.030234;1;-12.05;-77.03
23/08/2022;2;4;7;2;Jiron;AMAZONAS;2;1;Leve;Activo;1;Cercado lima;-12.044596;-77.021681;1;-12.04;-77.02
